Zp,Zs,LR,MR,VpVs,label
5812.52,2885.9336,17.1281,8.3287,2.0141,0
5817.5649,2873.0186,17.3355,8.2544,2.025,0
5852.5278,2874.0974,17.7314,8.2606,2.0364,0
5912.0273,2910.7134,18.0096,8.4723,2.0311,0
5970.0239,2977.5209999999997,17.9098,8.8657,2.0051,0
5937.02,3028.5913,16.9048,9.1724,1.9603,0
5853.2686,2991.9778,16.359,8.952,1.9563,0
5700.3984,2932.824,15.309000000000001,8.6015,1.9437,0
5507.6211,2823.282,14.392999999999999,7.9709,1.9508,0
5505.5176,2710.1252,15.6298,7.3448,2.0315,0
5474.7388,2718.8179,15.2458,7.392,2.0135,0
6011.3716,2704.5735,21.5449,7.3147,2.2225,0
6427.456999999999,3041.0352,22.8246,9.2479,2.1136,0
6618.7231,3369.6072,21.0994,11.3543,1.9642,0
6655.6669999999995,3535.2813,19.3014,12.4983,1.8827,0
6616.77,3564.2759,18.3742,12.7042,1.8565,0
6532.6553,3512.8987,17.9956,12.3405,1.8596,0
6414.6748,3411.8540000000003,17.8766,11.6408,1.8801,0
6116.5019999999995,3273.5811,15.9838,10.7167,1.8684,0
5660.6899,2907.623,15.1372,8.4543,1.9468,0
5621.1411,2873.3416,15.0854,8.2561,1.9563,0
5626.6069,2848.2725,15.4338,8.1127,1.9755,0
5634.9873,2861.8806,15.3738,8.1905,1.969,0
5700.7559,2868.458,16.0427,8.2281,1.9874,0
5730.645,2901.7134,16.0005,8.42,1.9749,0
5728.6079,2914.4089,15.8297,8.4938,1.9656,0
5709.5439,2907.3745,15.6934,8.4528,1.9638,0
5722.6128,2880.1743,16.1575,8.2955,1.9869,0
5705.0068,2882.2551,15.9322,8.3075,1.9794,0
5685.9331,2872.2051,15.8306,8.2497,1.9797,0
5536.4844,2846.6953,14.4462,8.1037,1.9449,0
5445.3428,2728.6582,14.7623,7.4458,1.9956,0
5528.1475,2764.3171,15.2786,7.6416,1.9998,0
5597.2441,2808.7866,15.5513,7.8894,1.9927,0
5687.3730000000005,2848.4194,16.1221,8.1136,1.9966,0
5707.0854,2910.1765,15.6328,8.4691,1.9611,0
5725.6626,2896.0801,16.0102,8.3873,1.9769999999999999,0
5786.7925,2900.1626,16.6653,8.411,1.9954,0
5828.3604,2948.4485,16.5836,8.6934,1.9768,0
5889.5762,3003.2668,16.6495,9.0197,1.9609999999999999,0
5963.4697,3063.6934,16.7913,9.3863,1.9465,0
5991.6309,3116.6306,16.4729,9.7134,1.9225,0
6581.4058,3527.0691,18.4359,12.4409,1.8659999999999999,0
6674.1851,3558.03,19.2257,12.6596,1.8758,0
6662.5317,3561.7864,19.0167,12.6863,1.8706,0
6691.4199,3550.7559,19.5601,12.6079,1.8845,0
6745.521,3564.7832,20.0863,12.7079,1.8923,0
5875.5913,3089.4558,15.4333,9.5449,1.9018,0
5981.7861,3136.3062,16.1096,9.8364,1.9073,0
5977.7163,3121.853,16.2413,9.7467,1.9148,0
6074.7329,3131.9592,17.285999999999998,9.81,1.9396,0
6155.1274,3164.3135,17.8598,10.0129,1.9452,0
6185.0083,3171.9717,18.1343,10.0614,1.9499,0
6315.4609,3198.4275,19.4315,10.23,1.9745,0
6466.231,3304.3728,19.9762,10.9189,1.9569,0
5973.4321,3052.0498,17.0522,9.315,1.9572,0
6025.1646,3108.7605,16.9741,9.6644,1.9381,0
6073.9546,3148.02,17.0729,9.91,1.9295,0
6076.0249,3213.7717,16.2615,10.3283,1.8906,0
5959.0352,3133.8154,15.8685,9.8208,1.9015,0
5851.6221,2951.9221,16.8162,8.7141,1.9823,0
5954.6455,2982.3562,17.6689,8.8945,1.9966,0
5969.6431,3014.877,17.4531,9.0918,1.9932,0
5948.4487,3082.115,16.3793,9.5038,1.9847,0
5811.7612,2926.0898,16.6531,8.5628,1.9862,0
5685.103,2849.3582,16.0833,8.1196,1.9953,0
5570.209,2780.3718,15.5663,7.7305,2.0034,0
5555.7466,2768.5249,15.5371,7.6649,2.0068,0
5617.1255,2802.2527,15.8469,7.8526,2.0045,0
5617.103,2803.7712,15.8299,7.8617,2.0034,0
5760.9932,2893.0305,16.4501,8.3707,1.9914,0
5950.4419,3018.3716,17.1866,9.1106,1.9714,0
5996.2183,3052.1511,17.3238,9.3157,1.9646,0
6129.3477,3095.5974,18.4035,9.5828,1.98,0
6054.8159,3046.7207,18.0958,9.2825,1.9873,0
5911.6787,3001.8989,16.9251,9.0114,1.9693,0
5766.4976,2900.697,16.4244,8.4142,1.9880000000000002,0
5872.4902,2995.9829,16.5341,8.9762,1.9602,0
6016.48,3022.1421,17.9323,9.1334,1.9908,0
6003.5522,3010.8489,17.9122,9.0652,1.994,0
5932.5376,2967.7493,17.58,8.8077,1.999,0
